ID,Soil,Diversity,Time,Rep
AxC_d3_T5_3,AxC,d3,5,3
AxC_d3_T5_4,AxC,d3,5,4
AxC_d3_T5_5,AxC,d3,5,5
AxC_d3_T5_6,AxC,d3,5,6
BxC_d3_T5_1,BxC,d3,5,1
BxC_d3_T5_2,BxC,d3,5,2
BxC_d3_T5_3,BxC,d3,5,3
B_d3_T1_4,B,d3,1,4
BxC_d3_T5_4,BxC,d3,5,4
BxC_d3_T5_5,BxC,d3,5,5
BxC_d3_T5_6,BxC,d3,5,6
B_d3_T1_5,B,d3,1,5
AxC_d3_T1_6,AxC,d3,1,6
BxC_d3_T1_6,BxC,d3,1,6
B_d3_T1_6,B,d3,1,6
A_d3_T15_1,A,d3,15,1
B_d3_T15_1,B,d3,15,1
B_d3_T15_2,B,d3,15,2
B_d3_T15_3,B,d3,15,3
C_d3_T15_1,C,d3,15,1
C_d3_T15_2,C,d3,15,2
C_d3_T15_3,C,d3,15,3
C_d3_T15_4,C,d3,15,4
C_d3_T15_5,C,d3,15,5
C_d3_T15_6,C,d3,15,6
AxB_d3_T15_1,AxB,d3,15,1
A_d3_T15_2,A,d3,15,2
AxB_d3_T15_2,AxB,d3,15,2
AxB_d3_T15_3,AxB,d3,15,3
AxB_d3_T15_4,AxB,d3,15,4
AxB_d3_T15_5,AxB,d3,15,5
AxC_d3_T15_1,AxC,d3,15,1
AxC_d3_T15_2,AxC,d3,15,2
AxC_d3_T15_3,AxC,d3,15,3
AxC_d3_T15_4,AxC,d3,15,4
AxC_d3_T15_5,AxC,d3,15,5
A_d3_T15_3,A,d3,15,3
AxC_d3_T15_6,AxC,d3,15,6
BxC_d3_T15_1,BxC,d3,15,1
BxC_d3_T15_2,BxC,d3,15,2
BxC_d3_T15_3,BxC,d3,15,3
BxC_d3_T15_4,BxC,d3,15,4
BxC_d3_T15_5,BxC,d3,15,5
BxC_d3_T15_6,BxC,d3,15,6
A_d3_T30_1,A,d3,30,1
A_d3_T30_2,A,d3,30,2
A_d3_T30_3,A,d3,30,3
A_d3_T30_4,A,d3,30,4
A_d3_T30_5,A,d3,30,5
A_d3_T30_6,A,d3,30,6
B_d3_T30_1,B,d3,30,1
B_d3_T30_2,B,d3,30,2
B_d3_T30_3,B,d3,30,3
B_d3_T30_4,B,d3,30,4
B_d3_T30_5,B,d3,30,5
B_d3_T30_6,B,d3,30,6
C_d3_T30_1,C,d3,30,1
A_d3_T15_4,A,d3,15,4
C_d3_T30_2,C,d3,30,2
C_d3_T30_3,C,d3,30,3
C_d3_T30_4,C,d3,30,4
C_d3_T30_5,C,d3,30,5
C_d3_T30_6,C,d3,30,6
AxB_d3_T30_1,AxB,d3,30,1
AxB_d3_T30_2,AxB,d3,30,2
AxB_d3_T30_3,AxB,d3,30,3
AxB_d3_T30_4,AxB,d3,30,4
AxB_d3_T30_5,AxB,d3,30,5
A_d3_T15_5,A,d3,15,5
AxB_d3_T30_6,AxB,d3,30,6
AxC_d3_T30_1,AxC,d3,30,1
AxC_d3_T30_2,AxC,d3,30,2
AxC_d3_T30_3,AxC,d3,30,3
AxC_d3_T30_4,AxC,d3,30,4
AxC_d3_T30_5,AxC,d3,30,5
AxC_d3_T30_6,AxC,d3,30,6
BxC_d3_T30_1,BxC,d3,30,1
BxC_d3_T30_2,BxC,d3,30,2
BxC_d3_T30_3,BxC,d3,30,3
B_d3_T15_4,B,d3,15,4
BxC_d3_T30_4,BxC,d3,30,4
BxC_d3_T30_5,BxC,d3,30,5
BxC_d3_T30_6,BxC,d3,30,6
B_d3_T15_5,B,d3,15,5
AxB_d3_T15_6,AxB,d3,15,6
A_d3_T15_6,A,d3,15,6
B_d3_T15_6,B,d3,15,6
A_d5_T1_1,A,d5,1,1
B_d5_T1_1,B,d5,1,1
B_d5_T1_2,B,d5,1,2
B_d5_T1_3,B,d5,1,3
C_d5_T1_1,C,d5,1,1
C_d5_T1_2,C,d5,1,2
C_d5_T1_3,C,d5,1,3
C_d5_T1_4,C,d5,1,4
C_d5_T1_5,C,d5,1,5
A_d5_T1_2,A,d5,1,2
AxB_d5_T1_1,AxB,d5,1,1
AxB_d5_T1_2,AxB,d5,1,2
AxB_d5_T1_3,AxB,d5,1,3
AxB_d5_T1_4,AxB,d5,1,4
AxB_d5_T1_5,AxB,d5,1,5
AxC_d5_T1_1,AxC,d5,1,1
AxC_d5_T1_2,AxC,d5,1,2
AxC_d5_T1_3,AxC,d5,1,3
AxC_d5_T1_4,AxC,d5,1,4
AxC_d5_T1_5,AxC,d5,1,5
A_d5_T1_3,A,d5,1,3
